sample_id,condition_id,input_raw,source_relative_path,source_scenario_type,prompt,occluder_type,occluder_side,pedestrian_speed_mps,risk_level,replicate,prompt_case_id,template_seed,semantic_direction,direction,source_format,construction_mode,source_scene_usage,b0_raw,b1_raw,artifact_root,template_validation_pass,concrete_parameter_sample_ready,sampled_scene_ready,sampled_occluder_side,sampled_concrete_direction,road_parameter_source,ego_state_source,hard_road_lane_preserved,background_actor_edit_count,background_reposition_count,background_removal_count,background_removal_used,ego_state_edited,elastic_selected_attempt,semantic_lane_center_y,semantic_projection_time_s,frame_check_pass,mapped_spec_check_pass,strict_validation_pass,b0_pass,b1_pass,b1_semantic_satisfaction_rate,visualization,visualization_warning
language-occ_ped_001__r00__5d74f79e,language-occ_ped_001,../exp/caches/autoencoder_cache/2021.09.29.01.04.10_veh-49_01260_01759/behind_pedestrian_on_driveable/347610edf91f51a6/sledge_raw.gz,2021.09.29.01.04.10_veh-49_01260_01759/behind_pedestrian_on_driveable/347610edf91f51a6/sledge_raw.gz,behind_pedestrian_on_driveable,A child suddenly emerges from behind a parked truck into the ego lane.,,sample_once,,aggressive,0,occ_ped_001,1863436183,occluder_to_ego_path,derived_after_sampling,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_001__r00__5d74f79e/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_001__r00__5d74f79e/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_001__r00__5d74f79e,True,True,True,left,left_to_right,b0_scene_context,hierarchical_template_semantic_control,True,1,1,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_001__r00__5d74f79e/03_editing/b0_b1_comparison.png,
language-occ_ped_001__r01__b34172cc,language-occ_ped_001,../exp/caches/autoencoder_cache/2021.07.09.20.59.12_veh-38_03292_04331/near_multiple_pedestrians/10dda9ddac325224/sledge_raw.gz,2021.07.09.20.59.12_veh-38_03292_04331/near_multiple_pedestrians/10dda9ddac325224/sledge_raw.gz,near_multiple_pedestrians,A child suddenly emerges from behind a parked truck into the ego lane.,,sample_once,,aggressive,1,occ_ped_001,3678991182,occluder_to_ego_path,derived_after_sampling,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_001__r01__b34172cc/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_001__r01__b34172cc/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_001__r01__b34172cc,True,True,True,left,left_to_right,b0_scene_context,hierarchical_template_semantic_control,True,2,2,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_001__r01__b34172cc/03_editing/b0_b1_comparison.png,
language-occ_ped_002__r00__41aee9ed,language-occ_ped_002,../exp/caches/autoencoder_cache/2021.06.04.17.09.53_veh-47_04735_05164/near_multiple_pedestrians/1666d7a131265239/sledge_raw.gz,2021.06.04.17.09.53_veh-47_04735_05164/near_multiple_pedestrians/1666d7a131265239/sledge_raw.gz,near_multiple_pedestrians,An adult pedestrian steps out from behind a parked car on the left roadside and enters the ego lane at 1.2 m/s.,,left,1.2,,0,occ_ped_002,2410883589,occluder_to_ego_path,left_to_right,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_002__r00__41aee9ed/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_002__r00__41aee9ed/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_002__r00__41aee9ed,True,True,True,left,left_to_right,b0_scene_context,hierarchical_template_semantic_control,True,0,0,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_002__r00__41aee9ed/03_editing/b0_b1_comparison.png,
language-occ_ped_002__r01__2726d464,language-occ_ped_002,../exp/caches/autoencoder_cache/2021.07.15.21.07.10_veh-12_07482_08424/following_lane_with_slow_lead/558366f71fa05e56/sledge_raw.gz,2021.07.15.21.07.10_veh-12_07482_08424/following_lane_with_slow_lead/558366f71fa05e56/sledge_raw.gz,following_lane_with_slow_lead,An adult pedestrian steps out from behind a parked car on the left roadside and enters the ego lane at 1.2 m/s.,,left,1.2,,1,occ_ped_002,3380931940,occluder_to_ego_path,left_to_right,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_002__r01__2726d464/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_002__r01__2726d464/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_002__r01__2726d464,True,True,True,left,left_to_right,b0_scene_context,hierarchical_template_semantic_control,True,6,6,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_002__r01__2726d464/03_editing/b0_b1_comparison.png,
language-occ_ped_003__r00__1e27c203,language-occ_ped_003,../exp/caches/autoencoder_cache/2021.07.22.00.15.38_veh-37_00903_05858/following_lane_with_slow_lead/f6f83832ef9f5309/sledge_raw.gz,2021.07.22.00.15.38_veh-37_00903_05858/following_lane_with_slow_lead/f6f83832ef9f5309/sledge_raw.gz,following_lane_with_slow_lead,A jogger hidden behind a bus on the right side rushes toward the ego path.,,right,,,0,occ_ped_003,437398357,occluder_to_ego_path,right_to_left,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_003__r00__1e27c203/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_003__r00__1e27c203/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_003__r00__1e27c203,True,True,True,right,right_to_left,b0_scene_context,hierarchical_template_semantic_control,True,2,1,1,True,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_003__r00__1e27c203/03_editing/b0_b1_comparison.png,
language-occ_ped_003__r01__4e8e8c29,language-occ_ped_003,../exp/caches/autoencoder_cache/2021.09.07.15.28.24_veh-40_00582_01059/stopping_at_crosswalk/9ee28552fad0583a/sledge_raw.gz,2021.09.07.15.28.24_veh-40_00582_01059/stopping_at_crosswalk/9ee28552fad0583a/sledge_raw.gz,stopping_at_crosswalk,A jogger hidden behind a bus on the right side rushes toward the ego path.,,right,,,1,occ_ped_003,2661265382,occluder_to_ego_path,right_to_left,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_003__r01__4e8e8c29/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_003__r01__4e8e8c29/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_003__r01__4e8e8c29,True,True,True,right,right_to_left,b0_scene_context,hierarchical_template_semantic_control,True,0,0,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_003__r01__4e8e8c29/03_editing/b0_b1_comparison.png,
language-occ_ped_004__r00__b9c5758f,language-occ_ped_004,../exp/caches/autoencoder_cache/2021.09.29.03.43.06_veh-49_00010_00486/stopping_at_crosswalk/0ab8751b6735513f/sledge_raw.gz,2021.09.29.03.43.06_veh-49_00010_00486/stopping_at_crosswalk/0ab8751b6735513f/sledge_raw.gz,stopping_at_crosswalk,A person becomes visible from behind a roadside van and crosses into the ego lane at 1.6 m/s.,,sample_once,1.6,,0,occ_ped_004,1887029795,occluder_to_ego_path,derived_after_sampling,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_004__r00__b9c5758f/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_004__r00__b9c5758f/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_004__r00__b9c5758f,True,True,True,right,right_to_left,b0_scene_context,hierarchical_template_semantic_control,True,0,0,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_004__r00__b9c5758f/03_editing/b0_b1_comparison.png,
language-occ_ped_004__r01__f4e9e66c,language-occ_ped_004,../exp/caches/autoencoder_cache/2021.08.20.13.59.49_veh-28_00956_01631/stationary_at_traffic_light_with_lead/a8f8b4223de156e4/sledge_raw.gz,2021.08.20.13.59.49_veh-28_00956_01631/stationary_at_traffic_light_with_lead/a8f8b4223de156e4/sledge_raw.gz,stationary_at_traffic_light_with_lead,A person becomes visible from behind a roadside van and crosses into the ego lane at 1.6 m/s.,,sample_once,1.6,,1,occ_ped_004,3910641953,occluder_to_ego_path,derived_after_sampling,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_004__r01__f4e9e66c/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_004__r01__f4e9e66c/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_004__r01__f4e9e66c,True,True,True,right,right_to_left,b0_scene_context,hierarchical_template_semantic_control,True,1,1,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_004__r01__f4e9e66c/03_editing/b0_b1_comparison.png,
language-occ_ped_005__r01__da7f709a,language-occ_ped_005,../exp/caches/autoencoder_cache/2021.07.23.23.47.09_veh-35_04117_05594/near_pedestrian_on_crosswalk/814f48065fb65e7f/sledge_raw.gz,2021.07.23.23.47.09_veh-35_04117_05594/near_pedestrian_on_crosswalk/814f48065fb65e7f/sledge_raw.gz,near_pedestrian_on_crosswalk,A wheelchair user emerges from behind a road barrier on the left and moves into the ego path.,,left,,,1,occ_ped_005,4140169189,occluder_to_ego_path,left_to_right,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_005__r01__da7f709a/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_005__r01__da7f709a/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_005__r01__da7f709a,True,True,True,left,left_to_right,b0_scene_context,hierarchical_template_semantic_control,True,0,0,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_005__r01__da7f709a/03_editing/b0_b1_comparison.png,
language-occ_ped_006__r00__40e24d1f,language-occ_ped_006,../exp/caches/autoencoder_cache/2021.07.13.16.15.11_veh-38_01999_03449/near_pedestrian_on_crosswalk/679222a954895b20/sledge_raw.gz,2021.07.13.16.15.11_veh-38_01999_03449/near_pedestrian_on_crosswalk/679222a954895b20/sledge_raw.gz,near_pedestrian_on_crosswalk,"A pedestrian is fully hidden by a parked truck at the curb, then abruptly enters the ego lane.",,sample_once,,aggressive,0,occ_ped_006,1048657619,occluder_to_ego_path,derived_after_sampling,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_006__r00__40e24d1f/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_006__r00__40e24d1f/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_006__r00__40e24d1f,True,True,True,left,left_to_right,b0_scene_context,hierarchical_template_semantic_control,True,0,0,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_006__r00__40e24d1f/03_editing/b0_b1_comparison.png,
