token,scenario_type,log_name,path,actor_category,type_source,raw_count,in_frame_count,kept_count,dropped_outside_frame,dropped_by_cap,cap,overflow,d_K,d_first_drop,boundary_gap
3f65f9b08f085ba8,near_pedestrian_on_crosswalk,2021.09.27.03.10.15_veh-50_00486_00976,2021.09.27.03.10.15_veh-50_00486_00976/near_pedestrian_on_crosswalk/3f65f9b08f085ba8/sledge_raw.gz,vehicles,native_cache_directory,10,4,4,6,0,50,-46,32.87774658203125,,
3f65f9b08f085ba8,near_pedestrian_on_crosswalk,2021.09.27.03.10.15_veh-50_00486_00976,2021.09.27.03.10.15_veh-50_00486_00976/near_pedestrian_on_crosswalk/3f65f9b08f085ba8/sledge_raw.gz,pedestrians,native_cache_directory,14,1,1,13,0,20,-19,13.263035774230957,,
3f65f9b08f085ba8,near_pedestrian_on_crosswalk,2021.09.27.03.10.15_veh-50_00486_00976,2021.09.27.03.10.15_veh-50_00486_00976/near_pedestrian_on_crosswalk/3f65f9b08f085ba8/sledge_raw.gz,static_objects,native_cache_directory,6,5,5,1,0,30,-25,23.587783813476562,,
aaf5f663b5ab5fec,near_pedestrian_on_crosswalk,2021.05.24.17.57.11_veh-35_05075_05292,2021.05.24.17.57.11_veh-35_05075_05292/near_pedestrian_on_crosswalk/aaf5f663b5ab5fec/sledge_raw.gz,vehicles,native_cache_directory,35,14,14,21,0,50,-36,34.88066101074219,,
aaf5f663b5ab5fec,near_pedestrian_on_crosswalk,2021.05.24.17.57.11_veh-35_05075_05292,2021.05.24.17.57.11_veh-35_05075_05292/near_pedestrian_on_crosswalk/aaf5f663b5ab5fec/sledge_raw.gz,pedestrians,native_cache_directory,182,78,20,104,58,20,58,12.076215744018555,13.280784606933594,1.204568862915039
aaf5f663b5ab5fec,near_pedestrian_on_crosswalk,2021.05.24.17.57.11_veh-35_05075_05292,2021.05.24.17.57.11_veh-35_05075_05292/near_pedestrian_on_crosswalk/aaf5f663b5ab5fec/sledge_raw.gz,static_objects,native_cache_directory,172,50,30,122,20,30,20,22.245933532714844,22.40952491760254,0.1635913848876953
98c1feeae3605b21,near_pedestrian_on_crosswalk,2021.07.24.00.58.02_veh-12_01105_01810,2021.07.24.00.58.02_veh-12_01105_01810/near_pedestrian_on_crosswalk/98c1feeae3605b21/sledge_raw.gz,vehicles,native_cache_directory,30,20,20,10,0,50,-30,28.23102569580078,,
98c1feeae3605b21,near_pedestrian_on_crosswalk,2021.07.24.00.58.02_veh-12_01105_01810,2021.07.24.00.58.02_veh-12_01105_01810/near_pedestrian_on_crosswalk/98c1feeae3605b21/sledge_raw.gz,pedestrians,native_cache_directory,30,8,8,22,0,20,-12,33.091590881347656,,
98c1feeae3605b21,near_pedestrian_on_crosswalk,2021.07.24.00.58.02_veh-12_01105_01810,2021.07.24.00.58.02_veh-12_01105_01810/near_pedestrian_on_crosswalk/98c1feeae3605b21/sledge_raw.gz,static_objects,native_cache_directory,1,0,0,1,0,30,-30,,,
b21da07870d2560b,near_pedestrian_on_crosswalk,2021.08.24.14.40.55_veh-28_01570_01776,2021.08.24.14.40.55_veh-28_01570_01776/near_pedestrian_on_crosswalk/b21da07870d2560b/sledge_raw.gz,vehicles,native_cache_directory,3,0,0,3,0,50,-50,,,
b21da07870d2560b,near_pedestrian_on_crosswalk,2021.08.24.14.40.55_veh-28_01570_01776,2021.08.24.14.40.55_veh-28_01570_01776/near_pedestrian_on_crosswalk/b21da07870d2560b/sledge_raw.gz,pedestrians,native_cache_directory,5,5,5,0,0,20,-15,20.816192626953125,,
b21da07870d2560b,near_pedestrian_on_crosswalk,2021.08.24.14.40.55_veh-28_01570_01776,2021.08.24.14.40.55_veh-28_01570_01776/near_pedestrian_on_crosswalk/b21da07870d2560b/sledge_raw.gz,static_objects,native_cache_directory,2,2,2,0,0,30,-28,30.39244842529297,,
c57fc1a4bc3a5c82,near_pedestrian_on_crosswalk,2021.09.27.17.52.47_veh-44_02192_02552,2021.09.27.17.52.47_veh-44_02192_02552/near_pedestrian_on_crosswalk/c57fc1a4bc3a5c82/sledge_raw.gz,vehicles,native_cache_directory,19,5,5,14,0,50,-45,31.03116798400879,,
c57fc1a4bc3a5c82,near_pedestrian_on_crosswalk,2021.09.27.17.52.47_veh-44_02192_02552,2021.09.27.17.52.47_veh-44_02192_02552/near_pedestrian_on_crosswalk/c57fc1a4bc3a5c82/sledge_raw.gz,pedestrians,native_cache_directory,9,8,8,1,0,20,-12,31.746997833251953,,
c57fc1a4bc3a5c82,near_pedestrian_on_crosswalk,2021.09.27.17.52.47_veh-44_02192_02552,2021.09.27.17.52.47_veh-44_02192_02552/near_pedestrian_on_crosswalk/c57fc1a4bc3a5c82/sledge_raw.gz,static_objects,native_cache_directory,5,4,4,1,0,30,-26,27.68093490600586,,
f2930b0854b65212,near_pedestrian_on_crosswalk,2021.06.09.12.39.51_veh-26_00055_00360,2021.06.09.12.39.51_veh-26_00055_00360/near_pedestrian_on_crosswalk/f2930b0854b65212/sledge_raw.gz,vehicles,native_cache_directory,4,1,1,3,0,50,-49,3.8122191429138184,,
f2930b0854b65212,near_pedestrian_on_crosswalk,2021.06.09.12.39.51_veh-26_00055_00360,2021.06.09.12.39.51_veh-26_00055_00360/near_pedestrian_on_crosswalk/f2930b0854b65212/sledge_raw.gz,pedestrians,native_cache_directory,38,20,20,18,0,20,0,34.17850112915039,,
f2930b0854b65212,near_pedestrian_on_crosswalk,2021.06.09.12.39.51_veh-26_00055_00360,2021.06.09.12.39.51_veh-26_00055_00360/near_pedestrian_on_crosswalk/f2930b0854b65212/sledge_raw.gz,static_objects,native_cache_directory,102,45,30,57,15,30,15,21.568954467773438,21.746105194091797,0.17715072631835938
02c4035eabfe50fa,near_pedestrian_on_crosswalk,2021.06.09.14.03.17_veh-12_03798_04118,2021.06.09.14.03.17_veh-12_03798_04118/near_pedestrian_on_crosswalk/02c4035eabfe50fa/sledge_raw.gz,vehicles,native_cache_directory,23,4,4,19,0,50,-46,42.94460678100586,,
02c4035eabfe50fa,near_pedestrian_on_crosswalk,2021.06.09.14.03.17_veh-12_03798_04118,2021.06.09.14.03.17_veh-12_03798_04118/near_pedestrian_on_crosswalk/02c4035eabfe50fa/sledge_raw.gz,pedestrians,native_cache_directory,114,17,17,97,0,20,-3,34.37150192260742,,
